anio,diaSemana,codificacion_linea,codificacion_estacion,codificacion_mes,afluencia
2019,1,5,83,12,6267
2011,4,8,130,4,29914
2020,2,1,19,4,6080
2024,5,11,84,7,8564
2010,1,5,87,9,4410
2022,4,6,92,10,8670
2013,6,3,60,1,19414
2019,3,2,23,8,25264
2019,1,8,123,10,13345
2020,3,2,37,7,5181
2016,5,8,128,4,12597
2024,2,9,137,5,40633
2022,4,8,133,6,22025
2014,6,11,164,5,28846
2015,7,6,100,12,5411
2012,3,4,68,4,8589
2020,1,1,18,3,0
2020,6,12,198,7,6490
2012,6,2,25,2,12919
2016,6,8,116,12,5166
2014,3,8,32,3,4817
2023,7,8,131,12,7722
2021,1,2,31,7,11733
2020,4,3,47,12,10794
2014,7,8,126,8,7613
2019,4,2,31,9,29260
2023,3,7,102,8,9358
2011,7,5,89,3,22887
2017,4,8,117,3,26615
2018,6,7,112,12,26091
2014,7,1,5,2,29283
2018,7,9,137,6,17600
2015,4,2,35,4,15571
2013,4,2,39,12,95138
2020,2,2,42,1,26674
2023,5,8,119,7,6684
2024,4,9,137,4,37902
2018,1,11,167,6,24880
2010,7,7,105,11,13454
2011,4,3,59,3,68337
2024,3,12,194,2,12507
2019,4,12,49,1,17091
2018,3,6,101,11,25865
2024,1,11,175,3,4546
2013,4,3,52,7,21347
2021,4,5,85,9,4631
2023,3,6,53,5,1122
2019,4,11,175,6,5983
2015,1,4,75,7,24516
2021,4,12,198,11,0
2018,2,8,131,5,14952
2016,1,10,152,8,12951
2020,6,3,49,8,10502
2012,6,8,123,2,9090
2016,6,6,100,6,7902
2018,6,3,48,10,18880
2021,4,1,7,8,10490
2022,7,3,60,1,9160
2021,5,8,133,9,18599
2016,7,8,117,7,11440
2022,4,8,119,9,6565
2022,7,11,161,3,8461
2015,6,7,113,6,12470
2017,5,5,84,5,9568
2012,3,1,17,6,37101
2020,1,5,85,10,3092
2020,6,2,22,9,2601
2015,5,11,177,7,6407
2019,2,7,109,3,19379
2011,7,8,119,9,5357
2011,7,7,105,4,10129
2014,5,12,182,2,15386
2020,1,11,54,10,2710
2023,3,9,74,7,10714
2021,7,2,39,1,4487
2023,7,2,26,5,13594
2020,4,11,161,4,11611
2020,6,3,64,6,5291
2019,2,12,186,10,15997
2022,6,9,58,7,9934
2022,6,12,49,3,0
2017,4,11,174,4,17715
2018,6,8,121,11,28208
2013,5,3,61,3,18448
2021,4,2,42,11,20909
2022,2,2,39,5,34309
2015,1,9,137,4,55166
2010,4,12,30,4,0
2023,3,7,105,2,30715
2010,2,2,36,1,138227
2024,4,7,114,1,9249
2020,3,8,6,2,15324
2012,3,10,153,9,21394
2018,2,11,174,11,17740
2011,5,12,189,1,0
2011,2,11,124,1,7478
2014,6,12,182,7,0
2024,4,8,123,5,13263
2023,4,11,170,5,28063
2015,6,2,22,11,10221
2014,1,10,155,2,29633
2011,1,12,49,1,0
2019,7,2,33,7,10132
2013,5,1,16,5,48702
2020,2,5,76,12,3312
2013,7,3,59,6,32868
2016,7,10,152,1,8871
2012,4,9,58,12,12998
2017,1,12,129,2,15138
2019,2,1,3,1,7207
