anio,diaSemana,codificacion_linea,codificacion_estacion,codificacion_mes,afluencia
2017,2,11,84,3,12029
2013,2,1,14,3,15492
2016,2,6,75,2,38351
2022,1,5,82,9,6477
2022,6,11,175,10,6298
2021,5,5,11,12,59324
2011,2,1,14,9,21837
2022,6,3,63,7,20024
2024,3,8,124,4,20757
2011,5,3,7,2,8722
2020,4,12,196,12,5936
2015,2,8,126,2,16685
2023,3,8,128,5,11968
2012,3,9,58,6,11051
2017,7,8,119,3,4751
2020,5,11,165,9,14056
2020,5,12,182,10,10580
2012,5,8,116,4,4862
2019,6,5,84,4,9319
2022,5,1,14,12,0
2021,7,4,71,1,0
2023,1,10,150,8,17250
2023,4,1,11,10,0
2012,3,2,23,11,41816
2013,3,3,7,12,1473
2011,3,2,42,8,41243
2012,5,1,9,9,71345
2024,1,2,25,7,12471
2012,2,4,15,2,8104
2022,6,5,85,3,3100
2022,1,5,61,1,6188
2015,6,11,172,10,8387
2023,3,2,23,5,17939
2014,4,3,59,7,60087
2010,2,11,165,11,25637
2018,2,9,32,5,12871
2015,2,2,36,11,115369
2014,2,11,169,6,24548
2022,7,10,149,4,7665
2019,7,10,155,11,32483
2020,7,2,25,8,2479
2022,4,4,74,6,6322
2010,7,5,83,4,4930
2018,7,1,7,8,8704
2015,7,9,142,4,2892
2010,2,4,73,2,7433
2023,5,7,110,8,19637
2022,7,8,119,2,3767
2011,3,6,100,6,10513
2022,6,1,6,8,0
2017,7,5,82,4,4814
2013,1,12,129,5,10387
2016,5,9,140,8,19910
2019,5,11,169,2,29275
2015,2,12,30,12,9869
2022,6,11,166,1,8493
2011,4,10,151,10,30556
2013,2,12,191,7,38256
2016,3,12,194,11,12541
2012,3,10,153,4,19349
2011,5,8,133,8,35593
2020,3,8,117,10,14371
2024,2,8,116,1,9349
2022,6,9,146,6,11144
2011,2,9,137,10,51123
2018,2,8,124,2,20018
2012,5,2,39,10,51914
2023,3,3,54,8,8672
2017,6,1,9,2,65883
2012,2,8,123,2,13798
2022,5,11,165,7,17552
2023,3,12,194,11,11420
2015,2,2,24,12,22119
2022,1,3,7,5,7446
2023,4,8,119,8,6196
2012,7,3,63,1,18018
2010,4,3,58,12,27692
2019,5,5,86,11,22190
2016,5,7,110,11,28001
2014,4,3,47,8,31016
2020,6,6,97,5,0
2020,6,2,23,10,9621
2015,1,6,99,5,5223
2010,2,5,80,10,6081
2017,2,1,16,4,55881
2021,6,12,198,11,0
2011,1,1,15,7,22754
2022,2,4,71,12,9472
2012,1,12,198,4,0
2018,5,10,155,12,27364
2016,2,12,191,6,43777
2021,3,7,113,12,8414
2023,5,1,10,3,29650
2018,7,12,186,7,7361
2018,3,12,110,11,21191
2013,4,12,188,12,13081
2018,1,11,165,5,27845
2015,1,6,100,7,8098
2014,6,5,89,3,37716
2017,5,5,11,1,90972
2012,4,12,187,3,0
2011,2,11,170,4,27300
2018,1,2,44,8,87946
2020,5,2,42,1,30703
2023,5,4,71,8,10718
2019,5,2,33,9,26373
2019,6,2,42,5,26787
2011,5,10,152,6,19924
2014,1,2,35,7,20569
2021,7,4,70,11,886
2016,1,1,7,6,24295
2023,7,8,117,1,10962
2024,6,7,112,5,22091
2011,7,12,183,10,0
2010,1,9,74,9,9081
2019,2,9,142,12,7272
2015,4,3,56,10,22603
2022,4,9,142,11,7473
2024,1,6,53,5,1216
2011,1,1,19,2,34061
2019,1,5,61,10,11930
2013,5,5,76,9,5509
2016,6,2,25,3,12339
2012,7,5,78,11,19837
2019,1,4,75,2,23119
2013,7,9,146,8,8314
2023,4,1,8,5,23795
2020,5,2,37,10,7348
2017,5,11,161,1,21238
2012,1,6,53,10,6159
2014,4,1,16,4,48725
2015,4,11,162,11,21641
2018,5,6,85,5,5094
2022,2,12,188,5,0
2010,7,10,153,12,12775
2020,4,1,20,5,8211
2020,2,2,25,3,4715
2010,3,12,30,10,0
2011,3,1,17,3,56993
2010,5,6,93,4,8876
2020,5,11,161,7,9189
2016,5,1,5,9,40773
2020,1,9,136,4,0
2010,4,2,32,12,31294
2017,3,2,27,3,26839
2013,3,1,20,3,25585
2014,7,12,110,6,5337
2010,3,2,32,9,32051
2012,3,12,194,9,0
2013,1,5,80,7,4573
2010,1,7,105,12,29450
2019,2,1,10,9,57115
2016,4,9,58,11,16017
2015,6,5,89,2,34132
2021,5,11,173,12,9335
2014,2,12,129,9,56455
2016,4,9,143,12,20872
2012,3,8,32,12,4086
2015,3,8,126,4,13740
2013,1,3,42,12,26727
2022,1,8,134,2,51229
2019,5,8,6,7,16412
2021,6,2,44,9,50510
2013,5,9,74,4,13389
2017,5,7,107,5,13869
2018,4,4,69,8,7719
2011,4,11,124,2,6466
2014,1,12,186,2,12959
2010,4,2,30,9,7098
2022,3,11,158,2,42904
2023,3,9,58,12,14971
2016,6,3,67,6,19937
2015,3,3,53,10,44110
2021,6,12,188,12,0
2012,6,2,25,1,14096
2020,3,3,60,10,14158
2015,2,6,93,7,18330
2013,6,4,71,7,5992
2012,5,3,53,12,32822
2014,5,10,154,7,10868
2011,2,4,76,10,6015
2023,3,10,151,11,28597
2023,1,11,161,1,19262
2018,2,3,65,9,27921
2023,3,2,42,10,34824
2018,2,2,40,4,29540
2022,6,6,85,8,1871
2013,4,2,42,5,44314
2015,1,11,54,7,5508
2013,6,6,93,3,13382
2017,7,8,131,9,0
2011,4,8,131,1,22342
2022,1,1,8,12,12674
2011,4,9,11,8,49116
2016,7,11,177,11,3686
2011,6,9,140,7,13514
2010,5,6,100,12,8506
2018,7,12,186,3,7624
2022,4,5,86,7,17642
2012,7,2,33,11,9368
2014,2,3,61,5,38091
2012,4,12,191,8,0
2019,5,4,71,3,8562
2023,4,4,74,8,7384
2014,1,2,42,2,38070
2010,3,7,109,3,13174
2022,1,2,35,2,5996
2012,4,3,52,10,23087
2023,6,12,192,5,4844
2014,6,9,8,8,48834
2012,6,7,104,1,17905
2014,1,4,73,6,7920
2023,5,11,163,8,45726
2015,1,3,49,4,31093
2016,6,10,148,2,13162
2018,1,7,107,5,11943
2011,5,3,7,10,10005
2019,2,1,8,2,36623
2015,1,11,161,7,22581
2021,5,6,85,1,897
2020,3,8,6,1,18784
2010,3,3,62,10,30532
2022,7,3,7,3,1346
2012,2,8,118,3,13432
2017,7,9,136,3,4409
2019,6,1,17,2,60502
2019,1,2,39,9,67709
2012,6,11,169,12,23703
2015,3,3,48,2,25425
2011,7,1,5,9,33708
2015,1,8,124,2,12538
2011,6,2,33,4,10832
2024,5,9,137,2,40973
2024,7,11,167,1,9165
2010,1,9,140,1,14327
2023,7,8,123,6,3963
2016,4,2,30,4,20281
2011,7,6,75,9,13011
2019,1,5,84,4,4192
2024,2,8,121,3,23447
2012,4,8,70,5,13335
2020,2,6,53,4,527
2011,3,11,172,4,12043
2015,6,1,6,6,23373
2016,2,6,92,8,16079
2018,5,6,75,6,35529
2016,6,6,100,4,8557
2012,6,11,54,6,6290
2020,5,12,188,10,12246
2020,1,11,158,12,27842
2010,1,9,74,1,10026
2011,4,3,48,9,27365
2015,7,4,76,8,3176
2012,7,2,28,1,7188
2020,4,9,8,8,30684
2012,1,9,137,1,42002
2016,3,12,190,2,25084
2015,2,3,60,7,28759
2021,3,5,80,1,1989
2022,6,12,129,7,0
2020,3,9,141,12,21957
2018,2,8,32,12,4407
2017,2,8,124,4,17206
2016,3,12,191,2,41069
2018,7,1,20,7,21360
2018,3,10,149,7,13585
2023,4,5,87,9,4541
2013,7,6,93,5,8688
2016,4,8,117,7,26477
2011,3,1,5,1,41598
2016,4,7,104,3,19287
2023,3,8,121,1,32902
2018,7,4,69,3,3902
2016,1,3,59,2,74232
2019,4,1,2,1,27786
2014,1,2,44,6,104448
2016,4,12,49,6,15707
2016,1,9,143,8,22361
2021,6,7,110,8,21287
2018,3,8,121,3,29729
2023,5,4,71,9,11661
2024,6,4,68,6,6412
2015,3,3,66,6,24646
2019,2,6,99,8,7874
2015,3,6,99,10,7133
2024,7,3,56,1,4820
2013,1,2,24,1,35455
2012,7,11,173,10,7756
2016,3,3,66,2,21086
2023,6,7,109,3,5183
2020,4,12,194,5,0
2022,1,12,129,2,0
2024,1,1,10,6,0
2020,2,2,22,1,12438
2020,6,8,118,11,10170
2019,4,4,76,11,5369
2011,1,1,7,12,24704
2013,5,8,6,8,20359
2012,2,7,110,8,30642
2017,1,8,117,2,25509
2013,3,4,73,5,8181
2021,1,11,163,9,51842
2016,2,5,82,3,8244
2022,7,1,7,3,6573
2017,7,1,8,1,27315
2023,2,9,74,10,10471
2019,5,6,85,7,3657
2023,5,7,107,5,13943
2011,7,12,179,5,0
2016,2,4,76,6,5073
2014,2,4,69,8,7967
2015,7,6,100,8,8004
2019,6,3,42,10,25686
2016,3,3,58,3,25261
2011,4,11,158,2,45316
2015,5,8,126,8,19121
2018,2,7,110,11,22253
2012,6,10,11,10,70343
2021,6,1,2,8,10843
2023,4,11,84,12,9466
2014,3,6,75,7,34539
2015,2,11,54,6,5518
2012,4,1,13,3,26774
2024,6,10,148,5,10634
2016,2,4,77,10,6754
2015,2,10,154,12,11183
2015,4,4,75,6,27820
2020,7,9,142,5,1158
2022,7,3,57,1,9728
2020,6,9,58,11,5668
2011,4,9,142,10,7716
2022,7,1,19,1,4644
2020,5,12,190,10,23889
2015,5,11,170,10,34513
2019,2,11,163,6,64420
2023,5,7,105,9,42774
2023,6,12,180,7,15168
2011,6,12,186,9,0
2017,2,12,129,1,14966
2019,4,2,38,5,25724
2010,1,10,156,10,22565
2023,2,10,148,4,9099
2021,4,7,102,9,4222
2014,6,7,113,7,12693
2011,3,4,15,9,8613
2016,6,1,12,4,28131
2012,5,8,6,3,13727
2011,4,8,130,7,26794
2023,1,6,75,7,25170
2022,5,5,83,11,7640
2020,1,4,15,2,8506
2022,1,6,98,1,5947
2022,2,1,17,3,42678
2012,3,7,103,10,13916
2016,6,2,26,4,35444
2014,7,1,15,3,18583
2012,5,10,153,1,19523
2018,7,2,30,9,9544
2023,5,8,131,7,12849
2011,5,4,77,9,8553
2016,5,9,11,12,117628
2020,6,11,172,7,4375
2016,2,12,189,11,19970
2016,4,1,15,4,26080
2011,3,10,155,5,39868
2016,2,8,131,9,23507
2019,6,4,71,1,8274
2013,3,3,7,8,9586
2014,1,10,155,4,29361
2016,3,4,73,3,8058
2011,5,7,113,9,20738
2024,7,4,75,4,10412
2013,3,8,70,6,7010
2015,1,12,194,7,6025
2023,4,6,97,4,3087
2022,4,3,52,5,13505
2014,7,8,121,6,18485
2021,4,8,134,8,58479
2021,1,1,10,11,29217
2012,1,2,23,10,35107
2016,1,6,93,10,20179
2024,6,3,59,3,35729
2011,1,11,162,12,24504
2015,3,10,155,2,28913
2013,1,5,86,7,17543
2012,5,1,4,11,42790
2014,6,3,63,3,13163
2018,2,5,89,4,58687
2014,2,1,19,6,24029
2016,1,12,49,6,10169
2022,7,4,71,11,7817
2022,4,9,74,5,9871
2018,5,2,30,3,20629
2014,5,10,148,3,15366
2014,6,6,94,3,14893
2023,3,11,177,5,7665
2015,5,1,17,3,84501
2018,3,8,34,11,24803
2012,5,11,166,10,23777
2022,6,7,112,1,15349
2016,7,6,99,4,3288
2022,7,1,1,5,18208
2017,3,3,61,2,35819
2023,3,2,25,12,15326
2014,2,12,129,10,53434
2019,7,11,124,9,7816
2012,2,8,70,10,13782
2011,4,1,7,12,27337
2013,5,11,167,1,23128
2013,3,12,180,8,34458
2019,1,4,71,8,8558
2021,5,2,39,12,16514
2012,5,3,65,5,28210
2017,7,8,127,4,7665
2016,7,2,39,1,69136
2010,3,2,23,3,31919
2023,3,9,137,4,38241
2021,1,11,174,11,8892
2011,7,5,84,7,4678
2022,3,8,119,11,7343
2020,1,12,198,8,9663
2022,2,10,155,10,40148
2019,4,2,37,5,15656
2010,1,1,17,10,57862
2018,3,6,100,9,8961
2022,4,7,112,5,24234
2012,2,7,108,5,18437
2011,2,2,37,5,13438
2010,4,9,143,4,24913
2010,2,12,181,10,0
2021,6,3,53,7,14391
2023,3,12,30,8,6841
2024,2,8,133,7,21748
2012,1,3,65,2,30186
2012,1,7,114,12,9348
2012,6,5,83,12,7478
2019,5,11,73,6,5755
2022,7,1,14,1,5966
2024,2,5,82,4,11
2019,2,9,8,3,47739
2020,6,8,70,3,3830
2017,7,1,16,2,41333
2016,7,11,161,6,13039
2014,4,6,101,10,17833
2013,5,6,101,7,10215
2015,7,1,18,8,4874
2022,7,3,52,12,7128
2011,3,7,113,2,19870
2021,7,11,164,1,8984
2024,7,12,196,3,4464
2020,6,8,130,7,11777
2023,6,10,150,7,15917
2022,4,2,37,2,9104
2021,3,8,119,10,5938
2022,4,1,9,6,36048
2010,5,7,114,12,21496
2012,4,10,155,8,0
2019,7,10,148,10,12912
2024,5,3,49,6,19694
2024,4,1,10,5,0
2022,6,3,67,6,15516
2010,2,5,82,10,8125
2013,3,12,184,1,5329
2019,2,4,15,8,8209
2020,5,11,167,12,14411
2016,2,6,99,1,5729
2013,5,5,61,8,12443
2020,6,1,4,8,30681
2014,5,10,11,6,122287
2018,1,11,168,2,30901
2020,2,2,44,5,17054
2015,6,1,8,11,39180
2013,5,9,137,2,64966
2013,4,1,10,8,62130
2018,2,7,113,4,19397
2016,1,12,189,9,21136
2022,6,3,66,4,13695
2023,6,3,56,9,9110
2013,4,4,69,2,6976
2013,3,12,198,6,14894
2024,1,2,29,3,18603
2013,4,3,64,6,21760
2022,6,4,74,8,6056
2015,4,11,124,11,7110
2024,5,8,124,3,18363
2020,5,12,110,4,2684
2011,2,8,118,4,14120
2023,5,3,47,12,26819
2023,7,6,94,5,7856
2020,7,2,26,6,3247
2019,5,10,152,6,14295
2021,4,11,84,10,6490
2012,1,6,101,11,18981
2019,3,3,42,12,14940
2015,4,12,188,7,0
2014,7,1,15,2,19101
2019,1,1,9,3,74076
2015,4,2,33,7,21087
2021,3,5,11,8,46324
2023,5,5,86,9,14850
2024,2,1,19,6,0
2020,1,1,5,6,15955
2022,5,4,70,10,2141
2020,7,1,16,6,30807
2021,6,9,141,8,17549
2022,3,5,86,10,17219
2020,2,3,42,8,7218
2017,3,2,26,4,31238
2016,2,11,177,4,5964
2012,1,1,5,7,40720
2017,7,3,56,1,8663
2022,7,8,134,11,48425
2013,3,11,165,6,23340
2019,7,10,150,9,11249
2013,4,3,64,5,24921
2016,7,6,75,3,9388
2023,6,12,191,5,0
2018,6,10,156,12,17067
2014,4,2,24,4,19539
2011,1,11,175,4,8031
2018,6,7,45,8,9059
2010,1,10,151,10,32897
2024,5,3,66,7,11546
2014,6,8,32,1,3732
2023,6,1,11,8,0
2012,2,9,141,1,38769
2022,5,8,129,7,14627
2022,1,2,45,8,25368
2015,3,2,29,9,23627
2011,3,2,23,7,36540
2016,6,1,14,3,7454
2019,2,8,134,12,106413
2018,1,7,102,9,10017
2013,3,2,35,2,25058
2020,4,10,152,1,14890
2020,7,3,7,8,988
2015,6,2,37,1,13969
2016,4,6,92,1,13772
2010,5,11,163,1,65198
2019,3,11,84,10,11829
2022,3,8,34,6,18064
2014,1,12,190,5,0
2016,5,10,11,1,46375
2016,2,5,83,10,7442
2011,5,5,76,1,6358
2014,5,4,75,3,24188
2012,5,8,123,1,14611
2012,2,11,175,5,7561
2012,4,5,82,12,7805
2019,5,8,116,6,9510
2013,2,11,174,1,17763
2011,5,3,63,1,30433
2018,5,6,98,10,11225
2015,6,2,37,7,12236
2019,6,5,86,2,18033
2012,1,10,151,9,41050
2021,5,5,85,7,3597
2020,5,2,42,8,12350
2016,7,3,47,6,18012
2011,7,8,6,4,9081
2021,5,1,13,1,6284
2012,6,8,34,10,23959
2020,1,7,45,9,3874
2016,3,3,48,6,29116
2014,1,8,70,4,6206
2024,1,5,76,3,5247
2015,4,11,124,7,8508
2016,3,2,37,8,18749
2013,2,4,69,7,6936
2016,7,6,92,2,19158
2020,1,2,37,12,7902
2015,4,1,4,6,30163
2011,6,2,32,10,34003
2013,4,2,43,2,25552
2011,4,11,124,1,6973
2018,7,3,63,4,23066
2014,7,7,109,8,8864
2020,4,1,20,3,31604
2019,2,1,5,12,24487
2011,1,8,117,5,30813
2021,5,3,48,1,0
2016,6,8,130,11,22786
2024,1,11,167,6,17123
2014,4,7,107,9,20507
2024,1,11,175,5,4376
2020,3,10,155,2,32739
2015,1,10,150,1,26851
2011,5,6,100,4,11098
2023,4,7,107,5,11950
2021,6,12,49,1,9687
2012,7,10,149,2,9642
2016,6,8,129,3,15704
2020,6,2,27,3,25670
2021,1,3,56,12,9938
2018,1,2,43,2,19911
2020,4,12,49,9,14505
2024,1,7,105,1,16184
2013,2,5,89,8,44550
2013,2,11,165,8,22919
2011,3,11,166,1,22687
2019,1,8,117,6,27080
2019,7,3,60,2,12909
2021,1,10,153,12,15040
2020,6,1,13,10,15414
2016,7,2,22,2,5016
2019,4,2,30,1,19644
2015,2,1,18,8,13791
2018,3,2,25,3,10419
2015,5,7,108,10,19248
2014,3,9,146,4,14339
2014,5,4,77,9,7969
2015,2,2,32,7,29344
2015,6,7,45,6,8307
2012,4,6,98,4,8080
2020,4,3,50,12,76340
2022,6,2,26,1,19319
2021,3,10,148,12,18154
2015,4,1,12,10,28187
2024,7,6,97,2,1236
2020,6,12,184,8,3897
2011,6,2,30,11,26077
2024,4,3,7,7,19910
2016,6,5,61,4,9454
2018,3,12,190,9,32294
2015,4,1,7,2,29094
2020,5,7,109,4,2476
2011,7,7,104,10,10536
2021,7,3,52,1,0
2013,5,4,15,5,6299
2018,2,11,174,5,15802
2021,3,5,78,1,6500
2016,4,8,117,1,28172
2016,4,11,173,11,16244
2023,3,3,53,7,27140
2015,4,8,6,12,23730
2021,1,11,124,7,3299
2020,3,9,58,9,8314
2014,5,12,181,4,0
2015,6,2,35,6,19842
2018,4,6,100,8,8043
2020,1,3,60,6,8413
2023,4,7,104,1,25572
2022,1,3,59,7,43685
2024,1,12,190,4,30318
2022,3,7,45,12,8006
2018,4,4,75,4,26764
2016,1,7,102,11,10112
2020,4,2,35,12,6253
2016,1,8,133,10,26986
2022,2,5,82,4,4195
2019,6,3,48,6,16568
2023,6,8,119,1,6467
2018,1,1,11,3,29483
2018,4,10,151,9,50462
2016,1,2,32,7,33509
2014,6,6,53,5,2561
2011,6,3,53,11,38105
2013,2,11,177,2,7212
2013,2,1,18,12,15953
2011,5,7,93,2,27764
2016,2,1,7,10,27270
2012,1,12,182,3,0
2011,3,8,118,6,15312
2012,2,5,80,10,6901
2023,1,5,79,11,8069
2010,7,3,57,9,17444
2014,2,11,170,5,32204
2014,4,10,152,8,13287
2020,5,1,12,12,18816
2011,3,12,182,6,0
2011,7,1,3,1,19125
2010,4,7,103,1,7619
2018,1,12,184,3,14312
2011,2,2,32,4,32088
2010,5,3,53,12,57985
2014,7,12,183,8,0
2010,4,6,93,12,26958
2019,2,5,79,2,9861
2018,4,3,56,10,24442
2017,6,3,61,1,20614
2019,2,2,23,6,27075
2018,4,9,140,4,21374
2022,4,8,128,10,10046
2016,2,8,118,3,15153
2011,6,11,73,12,5462
2011,5,6,97,7,11878
2014,7,9,58,3,6853
2015,1,9,146,4,13263
2017,7,7,102,2,5704
2015,7,10,11,7,54735
2015,7,1,3,9,17220
2024,6,3,60,2,17884
2015,7,6,98,10,2389
2023,4,1,16,11,23217
2022,7,11,167,5,7643
2021,6,12,180,1,12833
2019,3,10,156,1,17616
2011,1,1,3,7,35998
2021,4,8,134,10,87513
2011,4,3,42,6,16806
2024,1,11,174,2,6561
2012,4,2,37,9,22799
2020,1,2,38,6,0
2010,1,3,58,3,25586
2011,1,2,31,5,38705
2013,4,6,98,8,7616
2016,6,6,85,6,2958
2024,4,10,149,2,12180
2019,1,3,64,8,23650
2011,6,11,163,10,72280
2011,2,4,76,10,5636
2020,7,11,174,2,8131
2016,7,2,30,6,10021
2014,5,9,74,2,9484
2017,7,7,45,2,10037
2023,2,11,162,9,17070
2014,7,1,11,10,29349
2024,5,2,4,3,12685
2011,3,6,101,3,19941
2023,5,1,1,12,26178
2022,2,10,149,9,13837
2013,2,7,109,8,17744
2013,5,12,129,2,9139
2010,1,11,54,4,3200
2023,1,8,124,10,17515
2024,1,1,9,7,0
2019,6,10,153,5,19657
2023,1,11,20,6,21886
2016,1,5,89,2,35864
2013,1,12,180,7,24636
2019,6,3,59,9,60301
2010,2,10,149,12,14014
2020,4,8,133,7,12224
2016,5,10,150,8,23031
2012,7,11,170,8,20714
2012,6,5,82,5,7524
2016,4,9,146,10,14415
2021,1,2,44,8,46735
2019,5,2,23,1,26495
2022,1,7,107,2,8309
2015,5,2,30,8,17899
2013,5,7,114,5,25385
2010,3,3,42,11,21432
2017,6,6,92,9,11485
2015,4,5,79,10,9223
2019,5,8,131,5,18408
2020,2,3,65,7,8974
2016,7,6,99,8,2865
2020,7,3,65,4,2109
2024,3,7,103,5,9376
2012,1,5,78,8,32386
2017,6,11,162,1,17914
2020,2,3,67,8,10680
2017,2,9,146,9,0
2013,1,9,140,5,21433
2013,1,12,179,1,1823
2022,3,1,14,10,0
2014,7,11,124,10,9406
2012,1,7,105,7,36507
2015,1,8,119,1,6884
2013,3,11,165,4,21496
2018,4,11,173,3,19798
2014,5,9,74,8,13438
2021,4,2,24,9,13854
2012,2,7,110,4,27755
2022,2,4,76,6,2958
2016,4,9,143,1,21971
2024,5,3,66,2,12709
2016,1,2,26,7,27337
2011,5,3,50,3,99520
2011,2,3,7,4,9009
2024,4,3,47,7,23528
2015,1,12,182,6,0
2014,5,6,100,5,9641
2011,5,3,60,10,28874
2022,2,1,14,10,0
2012,5,4,68,8,9090
2017,5,3,66,4,8523
2014,5,6,92,2,15748
2020,5,3,59,1,87805
2019,6,1,13,11,20148
2016,3,3,63,6,41741
2011,3,11,174,6,18557
2014,6,6,101,9,12573
2022,3,1,9,11,27674
2022,4,1,12,12,0
2023,3,2,22,2,10095
2016,2,9,58,2,18910
2019,2,1,6,7,24347
2022,6,5,82,9,4789
2011,6,11,73,2,6397
2021,4,9,142,8,4399
2015,4,6,98,7,7955
2010,5,7,8,9,4668
2015,5,2,28,8,26510
2016,6,2,26,10,37233
2018,5,3,66,6,21679
2020,4,1,3,8,11393
2010,1,8,121,12,42663
2013,6,2,34,3,35431
2015,4,1,17,2,70462
2019,2,9,136,9,12007
2021,6,9,142,11,11916
2015,1,11,84,5,10473
2020,4,9,11,12,33907
2017,7,11,168,5,17722
2022,3,6,101,6,13620
2019,7,1,13,6,38716
2013,7,1,19,1,8580
2016,1,4,76,7,3925
2015,6,11,164,6,29718
2022,4,10,150,5,15727
2019,3,11,161,7,29935
2018,1,9,58,10,17249
2012,5,10,151,6,22600
2018,7,7,104,4,12869
2018,3,8,121,5,30501
2016,6,11,168,7,27131
2016,5,3,59,3,94322
2022,3,11,124,1,5942
2022,1,3,48,10,13671
2014,1,6,99,4,5357
2023,2,5,87,10,3734
2011,1,8,6,11,18907
2022,2,9,143,5,26043
2016,3,11,170,10,32965
2015,3,5,76,4,5949
2014,3,11,124,5,7841
2023,5,3,56,3,16199
2016,7,1,19,8,12160
2017,1,7,104,2,37328
2012,3,4,15,1,7174
2019,7,1,5,1,28864
2023,6,10,148,10,9404
2019,4,7,109,8,17155
2014,1,11,169,2,31787
2023,3,10,156,10,17063
2011,2,6,98,11,8325
2023,3,10,155,6,35405
2012,5,12,194,3,0
2015,6,2,39,6,87960
2014,5,10,154,1,12704
2019,6,12,184,6,14713
2022,7,3,49,8,16869
2016,1,12,190,12,28778
2011,1,11,166,2,23760
2024,7,3,47,5,10283
2023,1,5,89,5,18516
2023,6,8,116,12,8799
2012,7,4,69,11,4202
2022,4,11,161,7,12927
2023,5,2,31,6,19513
2011,4,2,44,10,98330
2014,3,12,181,4,0
2024,2,7,109,3,12845
2015,1,2,36,7,111817
2021,7,11,167,2,6472
2020,1,4,70,4,822
2015,3,11,164,8,23321
2023,6,11,54,3,5752
2014,2,7,107,5,15537
2012,6,3,42,12,20770
2015,7,12,182,11,5608
2019,1,1,12,4,25277
2020,6,3,47,8,13693
2014,7,8,123,6,7133
2023,5,11,162,8,13021
2019,1,4,77,1,6174
2022,2,11,169,11,22797
2019,7,10,151,6,23686
2013,5,11,164,5,26395
2013,2,2,37,3,25634
2016,3,10,153,7,16463
2019,6,7,93,2,28614
2015,3,6,100,4,7880
2014,3,12,180,5,29451
2011,2,5,76,5,5050
2019,5,2,45,11,36461
2012,4,7,109,5,19806
2014,4,2,28,7,23567
2023,7,2,38,9,17628
2010,7,11,161,1,11864
2012,4,4,71,5,7213
2013,1,2,23,3,37866
2010,2,1,5,9,48729
2023,7,11,169,5,13127
2018,4,8,130,3,30093
2013,2,4,74,5,8285
2022,6,3,50,10,80336
2010,6,7,107,2,7914
2012,5,1,18,4,27497
2015,6,1,7,11,21467
2011,4,1,13,2,42523
2013,7,11,164,12,32488
2019,6,3,48,2,14149
2021,7,7,114,8,6005
2020,1,6,100,1,7899
2012,4,6,101,7,18648
2013,7,5,76,6,3646
2023,5,7,107,8,12101
2012,2,4,77,4,7316
2016,6,5,80,10,4210
2023,2,3,57,1,36107
2011,3,6,93,5,27547
2023,5,6,85,1,3189
2012,6,12,110,1,0
2019,2,4,76,6,4734
2014,1,9,58,6,18678
2022,1,5,76,7,3637
2017,3,12,188,5,14596
2013,7,4,15,5,4834
2016,1,1,10,5,52899
2012,1,2,31,6,38765
2024,5,7,93,1,39172
2018,3,1,3,8,29074
2023,4,12,110,2,9137
2012,3,5,85,11,6332
2018,1,2,39,6,66474
2024,6,2,33,4,13288
2012,4,2,22,1,11165
2022,1,11,164,8,17838
2013,2,3,50,3,116799
2017,2,1,3,9,0
2012,3,6,97,3,6740
2021,1,3,64,12,10484
2019,7,9,32,10,5302
2023,3,11,163,1,39736
2012,5,5,61,9,14396
2011,4,10,156,11,23596
2022,5,1,18,12,5599
2011,2,8,130,11,34829
2017,3,1,6,4,23466
2015,4,7,109,3,18291
2024,4,6,85,1,519
2019,1,12,189,5,25385
2015,3,3,52,7,17990
2010,5,6,94,3,20931
2013,3,3,50,2,141418
2011,4,2,38,2,40365
2016,6,6,93,10,18021
2023,6,2,33,4,10400
2013,5,12,198,8,15965
2018,4,1,2,10,28446
2013,3,1,7,7,23058
2023,7,5,79,1,4097
2016,1,9,11,9,100834
2022,4,11,162,7,14360
2015,2,5,83,2,8478
2019,2,1,16,10,43057
2022,3,1,17,8,23677
2023,2,11,165,3,17545
2015,3,1,14,6,15865
2019,3,3,58,3,24993
2019,5,6,100,10,9352
2022,2,10,11,10,48028
2020,3,1,14,5,4023
2013,2,9,142,8,7036
2022,4,6,93,3,13058
2022,1,3,64,5,20173
2014,3,3,49,6,37871
2019,5,2,34,4,32061
2020,7,9,137,3,8625
2019,3,8,123,1,5454
2022,6,12,189,10,0
2022,2,7,113,8,11312
2023,1,11,174,11,9320
2024,6,12,189,2,12819
2014,5,5,76,5,5441
2010,1,1,1,9,64326
2016,3,5,78,2,24672
2010,5,1,10,9,67706
2017,4,8,34,5,19819
2023,5,2,36,1,58330
2020,5,3,47,10,20638
2013,7,10,155,5,16578
2010,2,6,97,3,9666
2020,6,6,75,10,14486
2020,4,8,121,11,18055
2013,2,2,32,3,33667
2019,6,1,12,8,28820
2016,2,3,48,9,22190
2021,4,2,25,1,5505
2011,7,2,31,9,11746
2019,7,11,177,2,5525
2022,6,7,103,3,7777
2015,3,8,6,11,16845
2018,1,7,114,3,27637
2023,6,2,4,3,31754
2014,3,3,66,4,19925
2010,2,4,74,10,9120
2019,4,11,166,11,24571
2011,6,5,86,6,13316
2021,2,11,20,2,7934
2022,3,10,150,8,22798
2015,4,9,32,3,12898
2024,1,10,154,2,11749
2012,4,11,164,7,22974
2015,7,1,19,10,11085
2018,1,3,60,12,30928
2011,7,9,8,5,31033
2018,5,12,190,6,33511
